Name der Größe,Max. Remotespeicherdatenträger (Menge),Maximale Bandbreite (Mbps),Lokale SSD (Menge),Max. temporäre Speicherdatenträger (Menge),Spitzenfrequenz für alle Kerne (GHz),SSD Premium-Burst1-IOPS ohne Zwischenspeicherung,Nicht zwischengespeicherter Storage Burst1Speed (MBps),Basis-CPU-Leistung der VM (%)1,SSD Premium-Burstdurchsatz (MB/s)1ohne Zwischenspeicherung,SSD Premium-Datenträger-IOPS ohne Zwischenspeicherung,ReadWrite-Geschwindigkeit (MBit/s) des temporären Datenträgers,Disk Ultra- und SSD Premium v2-Durchsatz (MB/s) ohne Zwischenspeicherung,Temporärer Speicher (SSD): GiB,Nicht zwischengespeicherte Speicher-IOPS,Größe der lokalen SSD (GB),Maximaler temporärer Speicherdurchsatz: IOPS/MB/s,Maximalernicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBit/s,Disk Ultra- und SSD Premium v2-IOPS ohne Burstzwischenspeicherung1,Arbeitsspeicher (GiB),Disk Ultra- und SSD Premium v2-Durchsatz ohne Zwischenspeicherung (MB/s),NVMe-Datenträgergröße (TiB),vCPU,Basis-CPU-Frequenz (GHz),Größe des Betriebssystemdatenträgers (GB),Burstdatenträgerdurchsatz ohne Cache: IOPS/MBit/s1,Maximaler Burstdurchsatz bei SSD Premium-Datenträgern ohne Cache: IOPS/MBit/s,RDMA-Leistung (GB/s),NVMe-Datenträgergröße (TB),Arbeitsspeicher (GB),Anfängliches Guthaben (Menge),Maximale Netzwerkbandbreite (MB/s),Maximaler Durchsatz bei SSD Premium-Datenträgern ohne Cache: IOPS/MBit/s,Nicht zwischengespeicherter Storage Burst1IOPS,Nicht zwischengespeicherte Datenträgergeschwindigkeit (MBit/s),Disk Ultra- und SSD Premium v2-Durchsatz (MB/s) ohne Burstzwischenspeicherung1,Max. Netzwerkbandbreite (MBit/s),Maximaler nicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBit/s,NVMe-Datenträgerdurchsatz (MB/s),Burstdurchsatz für Cache- und temporären Speicher: IOPS/MBit/s1,Temporäre Datenträgergröße (GiB),Maximaler temporärer Speicherdurchsatz: IOPS/MBit/s*,Maximaler SSD Premium-Durchsatz ohne Cache: IOPS/MBit/s,NVMe-Datenträger-IOPS,Nicht zwischengespeicherte Datenträger-IOPS,Maximaler Durchsatz des Datenträgers ohne Cache: IOPS/MB/s,Nicht zwischengespeicherte Speichergeschwindigkeit (MBps),Netzwerkbandbreite,ReadOnly-IOPS des temporären Datenträgers,Nicht zwischengespeicherter Special2Storage IOPS,Temp ReadOnly Storage Speed (MBps),Max. Anzahl Datenträger,vCPUs (Anzahl),Maximaler Burst-Datenträgerdurchsatz ohne Cache: IOPS/MBit/s,Random Read1-Durchsatz (MB/s) des temporären Datenträgers,ReadOnly-Geschwindigkeit (MBit/s) des temporären Datenträgers,Maximaler temporärer Speicherdurchsatz: IOPS/MB/s*,Nicht zwischengespeicherter Special2Storage-Geschwindigkeit (MBps),Temp ReadWrite Storage Speed (MBps),Erwartete ausgehende Netzwerkbandbreite (MBit/s),Arbeitsspeicher der Beschleuniger (GB),Random Read-Durchsatz (MB/s)1des temporären Datenträgers,Größe des temporären Datenträgers (GB),vCPUs (Menge),Max Temp Storage (Menge),Max. Remotespeicher (Menge),Maximaler Durchsatz (Cache und temporärer Speicher): IOPS/MBit/s,Maximaler nicht zwischengespeicherterSSD Premium-Durchsatz: IOPS/MBit/s,Max. gebildetes Guthaben (Menge),Nicht zwischengespeicherter Burst1Special2Storage IOPS,Maximalernicht zwischengespeicherterSSD Premium-Durchsatz: IOPS/MBit/s,Speicherbandbreite (GB/s),SSD Premium-Burst-IOPS1ohne Zwischenspeicherung,Maximale Anzahl NICs,Maximaler Durchsatz (temporärer Speicher): IOPS/MBit/s,Memory: GiB,Max. NICs (Anzahl),Beschleuniger (Anzahl),Arbeitsspeicherbandbreite (GB/s),Maximaler Durchsatz des temporären Datenträgers in IOPS/MBit/s,Disk Ultra- und SSD Premium v2-IOPS ohne Zwischenspeicherung,Temp ReadWrite Storage IOPS,Random Write1-Durchsatz (MB/s) des temporären Datenträgers,SSD Premium-Burst1-Durchsatz ohne Zwischenspeicherung (MB/s),Max. Bandbreite (MBit/s),Random Write (RW) des temporären Datenträgers1– IOPS,Maximaler Burst nicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBit/s,RAM (GiB),Temp ReadOnly Storage IOPS,Temporäre Speichergröße (GiB),ReadWrite-IOPS des temporären Datenträgers,EPC-Arbeitsspeicher (GiB),SSD Premium-Burst1Durchsatz ohne Zwischenspeicherung (MB/s),Spitzenfrequenz für Einzelkern (GHz),SSD Premium-Durchsatz (MB/s) ohne Zwischenspeicherung,Kerne (Anzahl),Random Read (RR) des temporären Datenträgers1– IOPS,Maximaler Durchsatz des Datenträgers ohne Cache: IOPS/MBit/s,Guthabenbildung/Stunde (Menge),EPC-Speicher (MiB),Nicht zwischengespeicherte Burst1Special Storage-Geschwindigkeit (MBps),SSD Premium-Durchsatz ohne Zwischenspeicherung (MB/s),Maximale Netzwerkbandbreite (MBit/s),Maximaler nicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBps,Max. NVMe-Datenträger (Anzahl)
Standard_E96ads_v5,32,,,1,,80.000,,,,80.000,,,,,,,,,,,,,,,,,,,672,,40.000,,,,,,,,,3600,,,,,,,,,,,,96,,4000,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,2.000,,,,,,,,,,,,,450.000,,,,,1600,,,
Standard_E112iads_v5,64,,,1,,120000,,,,120000,,,,,,,,,,,,,,,,,,,672,,50000,,,,,,,,,3800,,,,,,,,,,,,112,,4000,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,2.000,,,,,,,,,,,,,450.000,,,,,2.000,,,
Standard_E2ps_v5,4,,,,,10000,,,,3750,,,,,,,,,,,,,,,,,,,16,,12500,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1200,,,,,,,,,,,,,,,,,,85,,,
Standard_E4ps_v5,8,,,,,10000,,,,6400,,,,,,,,,,,,,,,,,,,32,,12500,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1200,,,,,,,,,,,,,,,,,,145,,,
Standard_E8ps_v5,16,,,,,20000,,,,12800,,,,,,,,,,,,,,,,,,,64,,12500,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,1200,,,,,,,,,,,,,,,,,,290,,,
Standard_E16ps_v5,32,,,,,40.000,,,,25600,,,,,,,,,,,,,,,,,,,128,,12500,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,1200,,,,,,,,,,,,,,,,,,600,,,
Standard_E20ps_v5,32,,,,,64000,,,,32000,,,,,,,,,,,,,,,,,,,160,,12500,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,1600,,,,,,,,,,,,,,,,,,750,,,
Standard_E32ps_v5,32,,,,,80.000,,,,51.200,,,,,,,,,,,,,,,,,,,208,,16000,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,2.000,,,,,,,,,,,,,,,,,,865,,,
Standard_E2pds_v5,4,,,1,,10000,,,,3750,,,,,,,,,,,,,,,,,,,16,,12500,,,,,,,,,75,,,,,,,,,,,,2,,125,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1200,,,,,,,,,,,,,9.375,,,,,85,,,
Standard_E4pds_v5,8,,,1,,20000,,,,6400,,,,,,,,,,,,,,,,,,,32,,12500,,,,,,,,,150,,,,,,,,,,,,4,,250,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1200,,,,,,,,,,,,,19000,,,,,145,,,
Standard_E8pds_v5,16,,,1,,20000,,,,12800,,,,,,,,,,,,,,,,,,,64,,12500,,,,,,,,,300,,,,,,,,,,,,8,,500,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,1200,,,,,,,,,,,,,38.000,,,,,290,,,
Standard_E16pds_v5,32,,,1,,40.000,,,,25600,,,,,,,,,,,,,,,,,,,128,,12500,,,,,,,,,600,,,,,,,,,,,,16,,1.000,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,1200,,,,,,,,,,,,,75.000,,,,,600,,,
Standard_E20pds_v5,32,,,1,,64000,,,,32000,,,,,,,,,,,,,,,,,,,160,,12500,,,,,,,,,750,,,,,,,,,,,,20,,1250,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,1600,,,,,,,,,,,,,95.000,,,,,750,,,
Standard_E32pds_v5,32,,,1,,80.000,,,,51.200,,,,,,,,,,,,,,,,,,,208,,16000,,,,,,,,,1200,,,,,,,,,,,,32,,2.000,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,2.000,,,,,,,,,,,,,150000,,,,,865,,,
Standard_E2d_v4,4,,,1,,4000,,,,3200,,,,,,,,,,,,,,,,,,,16,,5.000,,,,,,,,,75,,,,,,,,,,,,2,,125,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,200,,,,,,,,,,,,,9000,,,,,48,,,
Standard_E4d_v4,8,,,1,,8000,,,,6400,,,,,,,,,,,,,,,,,,,32,,10000,,,,,,,,,150,,,,,,,,,,,,4,,250,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,200,,,,,,,,,,,,,19000,,,,,96,,,
Standard_E8d_v4,16,,,1,,16000,,,,12800,,,,,,,,,,,,,,,,,,,64,,12500,,,,,,,,,300,,,,,,,,,,,,8,,500,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,400,,,,,,,,,,,,,38.000,,,,,192,,,
Standard_E16d_v4,32,,,1,,32000,,,,25600,,,,,,,,,,,,,,,,,,,128,,12500,,,,,,,,,600,,,,,,,,,,,,16,,1.000,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,800,,,,,,,,,,,,,75.000,,,,,384,,,
Standard_E20d_v4,32,,,1,,40.000,,,,32000,,,,,,,,,,,,,,,,,,,160,,16000,,,,,,,,,750,,,,,,,,,,,,20,,1250,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,1.000,,,,,,,,,,,,,94.000,,,,,480,,,
Standard_E32d_v4,32,,,1,,64000,,,,51.200,,,,,,,,,,,,,,,,,,,256,,16000,,,,,,,,,1200,,,,,,,,,,,,32,,2.000,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,1600,,,,,,,,,,,,,150000,,,,,768,,,
Standard_E48d_v4,32,,,1,,80.000,,,,76800,,,,,,,,,,,,,,,,,,,384,,24.000,,,,,,,,,1800,,,,,,,,,,,,48,,3000,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,2.000,,,,,,,,,,,,,225.000,,,,,1152,,,
Standard_E64d_v4,32,,,1,,80.000,,,,80.000,,,,,,,,,,,,,,,,,,,504,,30.000,,,,,,,,,2400,,,,,,,,,,,,64,,4000,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,2.000,,,,,,,,,,,,,300000,,,,,1200,,,
Standard_E2ds_v4,4,,,1,,4000,,,,3200,,,,,,,,,,,,,,,,,,,16,,5.000,,,,,,,,,75,,,,,,,,,,,,2,,125,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,200,,,,,,,,,,,,,9000,,,,,48,,,
Standard_E4ds_v4,8,,,1,,8000,,,,6400,,,,,,,,,,,,,,,,,,,32,,10000,,,,,,,,,150,,,,,,,,,,,,4,,250,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,200,,,,,,,,,,,,,19000,,,,,96,,,
Standard_E8ds_v4,16,,,1,,16000,,,,12800,,,,,,,,,,,,,,,,,,,64,,12500,,,,,,,,,300,,,,,,,,,,,,8,,500,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,400,,,,,,,,,,,,,38.000,,,,,192,,,
Standard_E16ds_v4,32,,,1,,32000,,,,25600,,,,,,,,,,,,,,,,,,,128,,12500,,,,,,,,,600,,,,,,,,,,,,16,,1.000,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,800,,,,,,,,,,,,,75.000,,,,,384,,,
Standard_E20ds_v4,32,,,1,,40.000,,,,32000,,,,,,,,,,,,,,,,,,,160,,16000,,,,,,,,,750,,,,,,,,,,,,20,,1250,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,1.000,,,,,,,,,,,,,94.000,,,,,480,,,
Standard_E32ds_v4,32,,,1,,64000,,,,51.200,,,,,,,,,,,,,,,,,,,256,,16000,,,,,,,,,1200,,,,,,,,,,,,32,,2.000,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,1600,,,,,,,,,,,,,150000,,,,,768,,,
Standard_E48ds_v4,32,,,1,,80.000,,,,76800,,,,,,,,,,,,,,,,,,,384,,24.000,,,,,,,,,1800,,,,,,,,,,,,48,,3000,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,2.000,,,,,,,,,,,,,225.000,,,,,1152,,,
Standard_E64ds_v4,32,,,1,,80.000,,,,80.000,,,,,,,,,,,,,,,,,,,504,,30.000,,,,,,,,,2400,,,,,,,,,,,,64,,4000,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,2.000,,,,,,,,,,,,,300000,,,,,1200,,,
Standard_E80ids_v4,64,,,1,,80.000,,,,80.000,,,,,,,,,,,,,,,,,,,504,,30.000,,,,,,,,,2400,,,,,,,,,,,,80,,4000,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,2.000,,,,,,,,,,,,,375.000,,,,,1500,,,
Standard_E2a_v4,4,,,4,,4000,,,,3200,,,,,,,,,,,,,,,,,,,16,,2000,,,,,,,,,16,,,,,,,,,,,,2,,46,,,,,,,,,,,,,,,,,,,,,,2,,,,,,23,200,,,,,,,,,,,,,3000,,,,,48,,,
Standard_E4a_v4,8,,,8,,8000,,,,6400,,,,,,,,,,,,,,,,,,,32,,4000,,,,,,,,,32,,,,,,,,,,,,4,,93,,,,,,,,,,,,,,,,,,,,,,2,,,,,,46,200,,,,,,,,,,,,,6000,,,,,96,,,
Standard_E8a_v4,16,,,16,,16000,,,,12800,,,,,,,,,,,,,,,,,,,64,,8.000,,,,,,,,,64,,,,,,,,,,,,8,,187,,,,,,,,,,,,,,,,,,,,,,4,,,,,,93,400,,,,,,,,,,,,,12000,,,,,192,,,
Standard_E16a_v4,32,,,32,,32000,,,,25600,,,,,,,,,,,,,,,,,,,128,,10000,,,,,,,,,128,,,,,,,,,,,,16,,375,,,,,,,,,,,,,,,,,,,,,,8,,,,,,187,800,,,,,,,,,,,,,24.000,,,,,384,,,
Standard_E20a_v4,32,,,32,,40.000,,,,32000,,,,,,,,,,,,,,,,,,,160,,12000,,,,,,,,,160,,,,,,,,,,,,20,,468,,,,,,,,,,,,,,,,,,,,,,8,,,,,,234,1.000,,,,,,,,,,,,,30.000,,,,,480,,,
Standard_E32a_v4,32,,,32,,64000,,,,51.200,,,,,,,,,,,,,,,,,,,256,,16000,,,,,,,,,256,,,,,,,,,,,,32,,750,,,,,,,,,,,,,,,,,,,,,,8,,,,,,375,1600,,,,,,,,,,,,,48000,,,,,768,,,
Standard_E48a_v4,32,,,32,,80.000,,,,76800,,,,,,,,,,,,,,,,,,,384,,24.000,,,,,,,,,384,,,,,,,,,,,,48,,1000,,,,,,,,,,,,,,,,,,,,,,8,,,,,,500,2.000,,,,,,,,,,,,,96000,,,,,1148,,,
Standard_E64a_v4,32,,,32,,80.000,,,,80.000,,,,,,,,,,,,,,,,,,,512,,32000,,,,,,,,,512,,,,,,,,,,,,64,,1000,,,,,,,,,,,,,,,,,,,,,,8,,,,,,500,2.000,,,,,,,,,,,,,96000,,,,,1200,,,
Standard_E96a_v4,32,,,32,,80.000,,,,80.000,,,,,,,,,,,,,,,,,,,672,,32000,,,,,,,,,672,,,,,,,,,,,,96,,1000,,,,,,,,,,,,,,,,,,,,,,8,,,,,,500,2.000,,,,,,,,,,,,,96000,,,,,1200,,,
Standard_E2as_v4,4,,,1,,,,,,3200,,,,,,,,,,,,,,,,,,,16,,2000,,,,,,,,,32,,,,,,,,,,,,2,,,,,,,,,32,,,,,,,,,,,4000,,,,2,,,,,,50,200,,,,,,,,,,,48,,4000,,,,,,,,
Standard_E4as_v4,8,,,1,,,,,,6400,,,,,,,,,,,,,,,,,,,32,,4000,,,,,,,,,64,,,,,,,,,,,,4,,,,,,,,,64,,,,,,,,,,,8000,,,,2,,,,,,100,200,,,,,,,,,,,96,,8000,,,,,,,,
Standard_E8as_v4,16,,,1,,,,,,12800,,,,,,,,,,,,,,,,,,,64,,8.000,,,,,,,,,128,,,,,,,,,,,,8,,,,,,,,,128,,,,,,,,,,,16000,,,,4,,,,,,200,400,,,,,,,,,,,192,,16000,,,,,,,,
Standard_E16as_v4,32,,,1,,,,,,25600,,,,,,,,,,,,,,,,,,,128,,10000,,,,,,,,,256,,,,,,,,,,,,16,,,,,,,,,255,,,,,,,,,,,32000,,,,8,,,,,,400,800,,,,,,,,,,,384,,32000,,,,,,,,
Standard_E20as_v4,32,,,1,,,,,,32000,,,,,,,,,,,,,,,,,,,160,,12000,,,,,,,,,320,,,,,,,,,,,,20,,,,,,,,,320,,,,,,,,,,,40.000,,,,8,,,,,,500,1.000,,,,,,,,,,,480,,40.000,,,,,,,,
Standard_E32as_v4,32,,,1,,,,,,51.200,,,,,,,,,,,,,,,,,,,256,,16000,,,,,,,,,512,,,,,,,,,,,,32,,,,,,,,,510,,,,,,,,,,,64000,,,,8,,,,,,800,1600,,,,,,,,,,,768,,64000,,,,,,,,
Standard_E48as_v4,32,,,1,,,,,,76800,,,,,,,,,,,,,,,,,,,384,,24.000,,,,,,,,,768,,,,,,,,,,,,48,,,,,,,,,1020,,,,,,,,,,,80.000,,,,8,,,,,,1200,2.000,,,,,,,,,,,1148,,96000,,,,,,,,
Standard_E64as_v4,32,,,1,,,,,,80.000,,,,,,,,,,,,,,,,,,,512,,32000,,,,,,,,,1024,,,,,,,,,,,,64,,,,,,,,,1020,,,,,,,,,,,80.000,,,,8,,,,,,1600,2.000,,,,,,,,,,,1200,,128000,,,,,,,,
Standard_E96as_v4,32,,,1,,,,,,80.000,,,,,,,,,,,,,,,,,,,672,,32000,,,,,,,,,1344,,,,,,,,,,,,96,,,,,,,,,1020,,,,,,,,,,,80.000,,,,8,,,,,,2400,2.000,,,,,,,,,,,1200,,192000,,,,,,,,
Standard_E2_v4,4,,,,,4000,,,,3200,,,,,,,,,,,,,,,,,,,16,,5.000,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,200,,,,,,,,,,,,,,,,,,48,,,
Standard_E4_v4,8,,,,,8000,,,,6400,,,,,,,,,,,,,,,,,,,32,,10000,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,200,,,,,,,,,,,,,,,,,,96,,,
Standard_E8_v4,16,,,,,16000,,,,12800,,,,,,,,,,,,,,,,,,,64,,12500,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,400,,,,,,,,,,,,,,,,,,192,,,
Standard_E16_v4,32,,,,,32000,,,,25600,,,,,,,,,,,,,,,,,,,128,,12500,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,800,,,,,,,,,,,,,,,,,,384,,,
Standard_E20_v4,32,,,,,40.000,,,,32000,,,,,,,,,,,,,,,,,,,160,,10000,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,1.000,,,,,,,,,,,,,,,,,,480,,,
Standard_E32_v4,32,,,,,64000,,,,51.200,,,,,,,,,,,,,,,,,,,256,,16000,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,1600,,,,,,,,,,,,,,,,,,768,,,
Standard_E48_v4,32,,,,,80.000,,,,76800,,,,,,,,,,,,,,,,,,,384,,24.000,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,2.000,,,,,,,,,,,,,,,,,,1152,,,
Standard_E64_v4,32,,,,,80.000,,,,80.000,,,,,,,,,,,,,,,,,,,504,,30.000,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,2.000,,,,,,,,,,,,,,,,,,1200,,,
Standard_E2s_v4,4,,,,,4000,,,,3200,,,,,,,,,,,,,,,,,,,16,,5.000,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,200,,,,,,,,,,,,,,,,,,48,,,
Standard_E4s_v4,8,,,,,8000,,,,6400,,,,,,,,,,,,,,,,,,,32,,10000,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,200,,,,,,,,,,,,,,,,,,96,,,
Standard_E8s_v4,16,,,,,16000,,,,12800,,,,,,,,,,,,,,,,,,,64,,12500,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,400,,,,,,,,,,,,,,,,,,192,,,
Standard_E16s_v4,32,,,,,32000,,,,25600,,,,,,,,,,,,,,,,,,,128,,12500,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,800,,,,,,,,,,,,,,,,,,384,,,
Standard_E20s_v4,32,,,,,40.000,,,,32000,,,,,,,,,,,,,,,,,,,160,,10000,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,1.000,,,,,,,,,,,,,,,,,,480,,,
Standard_E32s_v4,32,,,,,64000,,,,51.200,,,,,,,,,,,,,,,,,,,256,,16000,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,1600,,,,,,,,,,,,,,,,,,768,,,
Standard_E48s_v4,32,,,,,80.000,,,,76800,,,,,,,,,,,,,,,,,,,384,,24.000,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,2.000,,,,,,,,,,,,,,,,,,1152,,,
Standard_E64s_v4,32,,,,,80.000,,,,80.000,,,,,,,,,,,,,,,,,,,504,,30.000,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,2.000,,,,,,,,,,,,,,,,,,1200,,,
Standard_E80is_v4,64,,,,,80.000,,,,80.000,,,,,,,,,,,,,,,,,,,504,,30.000,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,2.000,,,,,,,,,,,,,,,,,,1500,,,
Standard_E2bds_v5,,,,,,,,,,,,,75,,,,,,,,,2,,,,10000/1200,,,,,,6000/170,,,,,,,,,,,,,,,12500,,,,4,,,,,,,,,,,,,,,,,,,,,,2,9\.000/125,16,,,,,,,,,,,15000/1200,,,,,,,,,,,,,,,,,8000/170,
Standard_E4bds_v5,,,,,,,,,,,,,150,,,,,,,,,4,,,,20000/1200,,,,,,12100/350,,,,,,,,,,,,,,,12500,,,,8,,,,,,,,,,,,,,,,,,,,,,2,19.000/250,32,,,,,,,,,,,30000/1200,,,,,,,,,,,,,,,,,16200/350,
Standard_E8bds_v5,,,,,,,,,,,,,300,,,,,,,,,8,,,,40000/1200,,,,,,24200/680,,,,,,,,,,,,,,,12500,,,,16,,,,,,,,,,,,,,,,,,,,,,4,38.000/500,64,,,,,,,,,,,60000/1200,,,,,,,,,,,,,,,,,32400/680,
Standard_E16bds_v5,,,,,,,,,,,,,600,,,,,,,,,16,,,,64.000/2.000,,,,,,48400/1370,,,,,,,,,,,,,,,12500,,,,32,,,,,,,,,,,,,,,,,,,,,,8,75.000/1.000,128,,,,,,,,,,,96000/2000,,,,,,,,,,,,,,,,,64800/1370,
Standard_E32bds_v5,,,,,,,,,,,,,1200,,,,,,,,,32,,,,120.000/4.000,,,,,,96800/2740,,,,,,,,,,,,,,,16000,,,,32,,,,,,,,,,,,,,,,,,,,,,8,150.000/2.000,256,,,,,,,,,,,160.000/4.000,,,,,,,,,,,,,,,,,129700/2740,
Standard_E48bds_v5,,,,,,,,,,,,,1800,,,,,,,,,48,,,,120.000/4.000,,,,,,120.000/4.000,,,,,,,,,,,,,,,16000,,,,32,,,,,,,,,,,,,,,,,,,,,,8,225.000/3.000,384,,,,,,,,,,,160.000/4.000,,,,,,,,,,,,,,,,,160.000/4.000,
Standard_E64bds_v5,,,,,,,,,,,,,2400,,,,,,,,,64,,,,120.000/4.000,,,,,,120.000/4.000,,,,,,,,,,,,,,,20000,,,,32,,,,,,,,,,,,,,,,,,,,,,8,300.000/4.000,512,,,,,,,,,,,160800/6500,,,,,,,,,,,,,,,,,160800/6500,
Standard_E96bds_v5,,,,,,,,,,,,,3600,,,,,,,,,96,,,,120.000/4.000,,,,,,120.000/4.000,,,,,,,,,,,,,,,25000,,,,32,,,,,,,,,,,,,,,,,,,,,,8,450.000/4.000,672,,,,,,,,,,,180000/6500,,,,,,,,,,,,,,,,,180000/6500,
Standard_E2bs_v5,,,,,,,,,,,,,,,,,,,,,,2,,,,10000/1200,,,,,,6000/170,,,,,,,,,,,,,,,12500,,,,4,,,,,,,,,,,,,,,,,,,,,,2,,16,,,,,,,,,,,15000/1200,,,,,,,,,,,,,,,,,8000/170,
Standard_E4bs_v5,,,,,,,,,,,,,,,,,,,,,,4,,,,20000/1200,,,,,,12100/350,,,,,,,,,,,,,,,12500,,,,8,,,,,,,,,,,,,,,,,,,,,,2,,32,,,,,,,,,,,30000/1200,,,,,,,,,,,,,,,,,16200/350,
Standard_E8bs_v5,,,,,,,,,,,,,,,,,,,,,,8,,,,40000/1200,,,,,,24200/680,,,,,,,,,,,,,,,12500,,,,16,,,,,,,,,,,,,,,,,,,,,,4,,64,,,,,,,,,,,60000/1200,,,,,,,,,,,,,,,,,32400/680,
Standard_E16bs_v5,,,,,,,,,,,,,,,,,,,,,,16,,,,64.000/2.000,,,,,,48400/1370,,,,,,,,,,,,,,,12500,,,,32,,,,,,,,,,,,,,,,,,,,,,8,,128,,,,,,,,,,,96000/2000,,,,,,,,,,,,,,,,,64800/1370,
Standard_E32bs_v5,,,,,,,,,,,,,,,,,,,,,,32,,,,120.000/4.000,,,,,,96800/2740,,,,,,,,,,,,,,,16000,,,,32,,,,,,,,,,,,,,,,,,,,,,8,,256,,,,,,,,,,,160.000/4.000,,,,,,,,,,,,,,,,,129700/2740,
Standard_E48bs_v5,,,,,,,,,,,,,,,,,,,,,,48,,,,120.000/4.000,,,,,,120.000/4.000,,,,,,,,,,,,,,,16000,,,,32,,,,,,,,,,,,,,,,,,,,,,8,,384,,,,,,,,,,,160.000/4.000,,,,,,,,,,,,,,,,,160.000/4.000,
Standard_E64bs_v5,,,,,,,,,,,,,,,,,,,,,,64,,,,120.000/4.000,,,,,,120.000/4.000,,,,,,,,,,,,,,,20000,,,,32,,,,,,,,,,,,,,,,,,,,,,8,,512,,,,,,,,,,,160800/6500,,,,,,,,,,,,,,,,,160800/6500,
Standard_E96bs_v5,,,,,,,,,,,,,,,,,,,,,,96,,,,120.000/4.000,,,,,,120.000/4.000,,,,,,,,,,,,,,,25000,,,,32,,,,,,,,,,,,,,,,,,,,,,8,,672,,,,,,,,,,,180000/6500,,,,,,,,,,,,,,,,,180000/6500,
