Name der Größe,vCPUs (Anzahl),Random Write (RW) des temporären Datenträgers1– IOPS,Maximaler temporärer Speicherdurchsatz: IOPS/MB/s*,Disk Ultra- und SSD Premium v2-Durchsatz ohne Zwischenspeicherung (MB/s),Maximaler nicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBit/s,Maximaler nicht zwischengespeicherterSSD Premium-Durchsatz: IOPS/MBit/s,Maximale Netzwerkbandbreite (MBit/s),SSD Premium-Durchsatz (MB/s) ohne Zwischenspeicherung,Arbeitsspeicherbandbreite (GB/s),Max. Bandbreite (MBit/s),Random Read1-Durchsatz (MB/s) des temporären Datenträgers,Temporäre Datenträgergröße (GiB),SSD Premium-Durchsatz ohne Zwischenspeicherung (MB/s),Lokale SSD (Menge),vCPUs (Menge),RDMA-Leistung (GB/s),Spitzenfrequenz für alle Kerne (GHz),Maximaler temporärer Speicherdurchsatz: IOPS/MB/s,Random Read-Durchsatz (MB/s)1des temporären Datenträgers,Burstdatenträgerdurchsatz ohne Cache: IOPS/MBit/s1,Größe des Betriebssystemdatenträgers (GB),Größe des temporären Datenträgers (GB),EPC-Arbeitsspeicher (GiB),Netzwerkbandbreite,Anfängliches Guthaben (Menge),Maximaler temporärer Speicherdurchsatz: IOPS/MBit/s*,SSD Premium-Burst1-IOPS ohne Zwischenspeicherung,Disk Ultra- und SSD Premium v2-Durchsatz (MB/s) ohne Burstzwischenspeicherung1,Max. NICs (Anzahl),Maximaler Burst nicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBit/s,Arbeitsspeicher der Beschleuniger (GB),Disk Ultra- und SSD Premium v2-IOPS ohne Zwischenspeicherung,vCPU,Disk Ultra- und SSD Premium v2-IOPS ohne Burstzwischenspeicherung1,SSD Premium-Burstdurchsatz (MB/s)1ohne Zwischenspeicherung,Basis-CPU-Frequenz (GHz),Größe der lokalen SSD (GB),Maximaler Durchsatz (temporärer Speicher): IOPS/MBit/s,Temp ReadOnly Storage IOPS,Maximaler Burstdurchsatz bei SSD Premium-Datenträgern ohne Cache: IOPS/MBit/s,Erwartete ausgehende Netzwerkbandbreite (MBit/s),NVMe-Datenträgergröße (TiB),Memory: GiB,NVMe-Datenträger-IOPS,Disk Ultra- und SSD Premium v2-Durchsatz (MB/s) ohne Zwischenspeicherung,Maximaler Durchsatz (Cache und temporärer Speicher): IOPS/MBit/s,Kerne (Anzahl),Spitzenfrequenz für Einzelkern (GHz),Max. Remotespeicher (Menge),Max. Netzwerkbandbreite (MBit/s),ReadOnly-IOPS des temporären Datenträgers,Maximaler Durchsatz des temporären Datenträgers in IOPS/MBit/s,Maximaler Durchsatz des Datenträgers ohne Cache: IOPS/MB/s,SSD Premium-Burst-IOPS1ohne Zwischenspeicherung,Maximaler nicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBps,Basis-CPU-Leistung der VM (%)1,Nicht zwischengespeicherter Special2Storage IOPS,Arbeitsspeicher (GiB),Nicht zwischengespeicherter Burst1Special2Storage IOPS,EPC-Speicher (MiB),Maximaler Burst-Datenträgerdurchsatz ohne Cache: IOPS/MBit/s,ReadWrite-IOPS des temporären Datenträgers,Beschleuniger (Anzahl),NVMe-Datenträgerdurchsatz (MB/s),Temp ReadOnly Storage Speed (MBps),Speicherbandbreite (GB/s),Maximale Netzwerkbandbreite (MB/s),Nicht zwischengespeicherte Burst1Special Storage-Geschwindigkeit (MBps),Temporäre Speichergröße (GiB),Random Write1-Durchsatz (MB/s) des temporären Datenträgers,Nicht zwischengespeicherter Storage Burst1IOPS,RAM (GiB),Burstdurchsatz für Cache- und temporären Speicher: IOPS/MBit/s1,Nicht zwischengespeicherte Datenträger-IOPS,ReadOnly-Geschwindigkeit (MBit/s) des temporären Datenträgers,Nicht zwischengespeicherte Speichergeschwindigkeit (MBps),Maximalernicht zwischengespeicherterSSD Premium-Durchsatz: IOPS/MBit/s,Maximalernicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBit/s,Nicht zwischengespeicherter Storage Burst1Speed (MBps),Max. gebildetes Guthaben (Menge),Max. NVMe-Datenträger (Anzahl),ReadWrite-Geschwindigkeit (MBit/s) des temporären Datenträgers,Max. Remotespeicherdatenträger (Menge),NVMe-Datenträgergröße (TB),SSD Premium-Datenträger-IOPS ohne Zwischenspeicherung,Max. Anzahl Datenträger,Maximaler Durchsatz bei SSD Premium-Datenträgern ohne Cache: IOPS/MBit/s,Maximale Anzahl NICs,SSD Premium-Burst1Durchsatz ohne Zwischenspeicherung (MB/s),Max Temp Storage (Menge),Max. temporäre Speicherdatenträger (Menge),Nicht zwischengespeicherte Speicher-IOPS,Guthabenbildung/Stunde (Menge),Random Read (RR) des temporären Datenträgers1– IOPS,Maximaler SSD Premium-Durchsatz ohne Cache: IOPS/MBit/s,Temp ReadWrite Storage Speed (MBps),Maximaler Durchsatz des Datenträgers ohne Cache: IOPS/MBit/s,Temporärer Speicher (SSD): GiB,Maximale Bandbreite (Mbps),Nicht zwischengespeicherter Special2Storage-Geschwindigkeit (MBps),SSD Premium-Burst1-Durchsatz ohne Zwischenspeicherung (MB/s),Nicht zwischengespeicherte Datenträgergeschwindigkeit (MBit/s),Arbeitsspeicher (GB),Temp ReadWrite Storage IOPS
Standard_D128lds_v6,128,960000,,7935,,,,,,,11.520,1760,6.782,,,,,,,,,,,,,,204800,7935,8,,,266.667,,266.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54000,,,5760,,,,,,,,,,,,,64,,204800,,,,,,4,,,2400000,,,,,,,6.782,,256,
Standard_D2as_v6,2,,,,,,,90,,,,,,,,,,,,,,,,,,,,1250,2,,,4000,,20000,1250,,,,,,,,,,90,,,,,,,,,20000,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,4,,4000,,,,,,,,,,,,,,,,,,8,
Standard_D4as_v6,4,,,,,,,180,,,,,,,,,,,,,,,,,,,,1250,2,,,7600,,20000,1250,,,,,,,,,,180,,,,,,,,,20000,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,8,,7600,,,,,,,,,,,,,,,,,,16,
Standard_D8as_v6,8,,,,,,,360,,,,,,,,,,,,,,,,,,,,1250,4,,,15200,,20000,1250,,,,,,,,,,360,,,,,,,,,20000,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,16,,15200,,,,,,,,,,,,,,,,,,32,
Standard_D16as_v6,16,,,,,,,720,,,,,,,,,,,,,,,,,,,,1250,8,,,30400,,40.000,1250,,,,,,,,,,720,,,,,,,,,40.000,,,,,,,,,,,,,16000,,,,,,,,,,,,,,,,32,,30400,,,,,,,,,,,,,,,,,,64,
Standard_D32as_v6,32,,,,,,,1440,,,,,,,,,,,,,,,,,,,,1.700,8,,,57.600,,80.000,1.700,,,,,,,,,,1440,,,,,,,,,80.000,,,,,,,,,,,,,20000,,,,,,,,,,,,,,,,32,,57.600,,,,,,,,,,,,,,,,,,128,
Standard_D48as_v6,48,,,,,,,2160,,,,,,,,,,,,,,,,,,,,2550,8,,,86400,,90000,2550,,,,,,,,,,2160,,,,,,,,,90000,,,,,,,,,,,,,28000,,,,,,,,,,,,,,,,32,,86400,,,,,,,,,,,,,,,,,,192,
Standard_D64as_v6,64,,,,,,,2880,,,,,,,,,,,,,,,,,,,,3400,8,,,115.200,,120000,3400,,,,,,,,,,2880,,,,,,,,,120000,,,,,,,,,,,,,36000,,,,,,,,,,,,,,,,32,,115.200,,,,,,,,,,,,,,,,,,256,
Standard_D96as_v6,96,,,,,,,4320,,,,,,,,,,,,,,,,,,,,5090,8,,,175.000,,175.000,5090,,,,,,,,,,4320,,,,,,,,,175.000,,,,,,,,,,,,,40.000,,,,,,,,,,,,,,,,32,,175.000,,,,,,,,,,,,,,,,,,384,
Standard_D2ads_v6,2,,,,,,,90,,,180,110,,,,,,,,,,,,,,,,1250,2,,,4000,,20000,1250,,,,,,,,,,90,,,,,,,,,20000,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,4,,4000,,,,,,1,,,37500,,,,,,,,,8,
Standard_D4ads_v6,4,,,,,,,180,,,360,220,,,,,,,,,,,,,,,,1250,2,,,7600,,20000,1250,,,,,,,,,,180,,,,,,,,,20000,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,8,,7600,,,,,,1,,,75.000,,,,,,,,,16,
Standard_D8ads_v6,8,,,,,,,360,,,720,440,,,,,,,,,,,,,,,,1250,4,,,15200,,20000,1250,,,,,,,,,,360,,,,,,,,,20000,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,16,,15200,,,,,,1,,,150000,,,,,,,,,32,
Standard_D16ads_v6,16,,,,,,,720,,,1440,440,,,,,,,,,,,,,,,,1250,8,,,30400,,40.000,1250,,,,,,,,,,720,,,,,,,,,40.000,,,,,,,,,,,,,16000,,,,,,,,,,,,,,,,32,,30400,,,,,,2,,,300000,,,,,,,,,64,
Standard_D32ads_v6,32,,,,,,,1440,,,2880,440,,,,,,,,,,,,,,,,1.700,8,,,57.600,,80.000,1.700,,,,,,,,,,1440,,,,,,,,,80.000,,,,,,,,,,,,,20000,,,,,,,,,,,,,,,,32,,57.600,,,,,,4,,,600000,,,,,,,,,128,
Standard_D48ads_v6,48,,,,,,,2160,,,4320,440,,,,,,,,,,,,,,,,2550,8,,,86400,,90000,2550,,,,,,,,,,2160,,,,,,,,,90000,,,,,,,,,,,,,28000,,,,,,,,,,,,,,,,32,,86400,,,,,,6,,,900000,,,,,,,,,192,
Standard_D64ads_v6,64,,,,,,,2880,,,5760,880,,,,,,,,,,,,,,,,3400,8,,,115.200,,120000,3400,,,,,,,,,,2880,,,,,,,,,120000,,,,,,,,,,,,,36000,,,,,,,,,,,,,,,,32,,115.200,,,,,,4,,,1200000,,,,,,,,,256,
Standard_D96ads_v6,96,,,,,,,4320,,,8640,880,,,,,,,,,,,,,,,,5090,8,,,175.000,,175.000,5090,,,,,,,,,,4320,,,,,,,,,175.000,,,,,,,,,,,,,40.000,,,,,,,,,,,,,,,,32,,175.000,,,,,,6,,,1800000,,,,,,,,,384,
Standard_D2als_v6,2,,,,,,12500,90,,,,,,,,,,,,,,,,,,,,1250,2,,,4000,,20000,1250,,,,,,,,,,90,,,,,,,,,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4000,,,,,,,,,,,,,,,,,,4,
Standard_D4als_v6,4,,,,,,12500,180,,,,,,,,,,,,,,,,,,,,1250,2,,,7600,,20000,1250,,,,,,,,,,180,,,,,,,,,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,7600,,,,,,,,,,,,,,,,,,8,
Standard_D8als_v6,8,,,,,,12500,360,,,,,,,,,,,,,,,,,,,,1250,4,,,15200,,20000,1250,,,,,,,,,,360,,,,,,,,,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,15200,,,,,,,,,,,,,,,,,,16,
Standard_D16als_v6,16,,,,,,16000,720,,,,,,,,,,,,,,,,,,,,1250,8,,,30400,,40.000,1250,,,,,,,,,,720,,,,,,,,,40.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,30400,,,,,,,,,,,,,,,,,,32,
Standard_D32als_v6,32,,,,,,20000,1440,,,,,,,,,,,,,,,,,,,,1.700,8,,,57.600,,80.000,1.700,,,,,,,,,,1440,,,,,,,,,80.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,57.600,,,,,,,,,,,,,,,,,,64,
Standard D48als_v6,48,,,,,,28000,2160,,,,,,,,,,,,,,,,,,,,2550,8,,,86400,,90000,2550,,,,,,,,,,2160,,,,,,,,,90000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,86400,,,,,,,,,,,,,,,,,,96,
Standard_D64als_v6,64,,,,,,36000,2880,,,,,,,,,,,,,,,,,,,,3400,8,,,115.200,,120000,3400,,,,,,,,,,2880,,,,,,,,,120000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,115.200,,,,,,,,,,,,,,,,,,128,
Standard_D96als_v6,96,,,,,,40.000,4320,,,,,,,,,,,,,,,,,,,,5090,8,,,175.000,,175.000,5090,,,,,,,,,,4320,,,,,,,,,175.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,175.000,,,,,,,,,,,,,,,,,,192,
Standard_D2alds_v6,2,,,,,,,90,,,180,110,,,,,,,,,,,,,,,,1250,2,,,4000,,20000,1250,,,,,,,,,,90,,,,,,,,,20000,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,4,,4000,,,,,,1,,,37500,,,,,,,,,4,
Standard_D4alds_v6,4,,,,,,,180,,,360,220,,,,,,,,,,,,,,,,1250,2,,,7600,,20000,1250,,,,,,,,,,180,,,,,,,,,20000,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,8,,7600,,,,,,1,,,75.000,,,,,,,,,8,
Standard_D8alds_v6,8,,,,,,,360,,,720,440,,,,,,,,,,,,,,,,1250,4,,,15200,,20000,1250,,,,,,,,,,360,,,,,,,,,20000,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,16,,15200,,,,,,1,,,150000,,,,,,,,,16,
Standard_D16alds_v6,16,,,,,,,720,,,1440,440,,,,,,,,,,,,,,,,1250,8,,,30400,,40.000,1250,,,,,,,,,,720,,,,,,,,,40.000,,,,,,,,,,,,,16000,,,,,,,,,,,,,,,,32,,30400,,,,,,2,,,300000,,,,,,,,,32,
Standard_D32alds_v6,32,,,,,,,1440,,,2880,440,,,,,,,,,,,,,,,,1.700,8,,,57.600,,80.000,1.700,,,,,,,,,,1440,,,,,,,,,80.000,,,,,,,,,,,,,20000,,,,,,,,,,,,,,,,32,,57.600,,,,,,4,,,600000,,,,,,,,,64,
Standard_D48alds_v6,48,,,,,,,2160,,,4320,440,,,,,,,,,,,,,,,,2550,8,,,86400,,90000,2550,,,,,,,,,,2160,,,,,,,,,90000,,,,,,,,,,,,,28000,,,,,,,,,,,,,,,,32,,86400,,,,,,6,,,900000,,,,,,,,,96,
Standard_D64alds_v6,64,,,,,,,2880,,,5760,880,,,,,,,,,,,,,,,,3400,8,,,115.200,,120000,3400,,,,,,,,,,2880,,,,,,,,,120000,,,,,,,,,,,,,36000,,,,,,,,,,,,,,,,32,,115.200,,,,,,4,,,1200000,,,,,,,,,128,
Standard_D96alds_v6,96,,,,,,,4320,,,8640,880,,,,,,,,,,,,,,,,5090,8,,,175.000,,175.000,5090,,,,,,,,,,4320,,,,,,,,,175.000,,,,,,,,,,,,,40.000,,,,,,,,,,,,,,,,32,,175.000,,,,,,6,,,1800000,,,,,,,,,192,
Standard_D2ps_v6,,,,,,,12500,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,8,,,,,,,,4163,8,11100,,,,,,,,,1.463,,,10000,,,,,106,,,1250,,,,,,,,,,,,,3750,,,,,,,,124,,,,
Standard_D4ps_v6,,,,,,,12500,,,,,,,,4,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,12,,,,,,,,8333,16,26040,,,,,,,,,1.463,,,20000,,,,,212,,,1250,,,,,,,,,,,,,6400,,,,,,,,248,,,,
Standard_D8ps_v6,,,,,,,15000,,,,,,,,8,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,24,,,,,,,,16666,32,26040,,,,,,,,,1.463,,,20000,,,,,424,,,1250,,,,,,,,,,,,,12800,,,,,,,,496,,,,
Standard_D16ps_v6,,,,,,,15000,,,,,,,,16,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,48,,,,,,,,33331,64,52080,,,,,,,,,1.463,,,40.000,,,,,848,,,1250,,,,,,,,,,,,,25600,,,,,,,,992,,,,
Standard_D32ps_v6,,,,,,,20000,,,,,,,,32,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,64,,,,,,,,66662,128,104160,,,,,,,,,2340,,,80.000,,,,,16 %,,,2.000,,,,,,,,,,,,,51.200,,,,,,,,1984,,,,
Standard_D48ps_v6,,,,,,,30.000,,,,,,,,48,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,64,,,,,,,,99994,192,104160,,,,,,,,,3510,,,80.000,,,,,2544,,,3000,,,,,,,,,,,,,76800,,,,,,,,2976,,,,
Standard_D64ps_v6,,,,,,,40.000,,,,,,,,64,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,64,,,,,,,,133325,256,133325,,,,,,,,,4680,,,102400,,,,,3392,,,3392,,,,,,,,,,,,,102400,,,,,,,,3969,,,,
Standard_D96ps_v6,,,,,,,60000,,,,,,,,96,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,64,,,,,,,,199987,384,199987,,,,,,,,,5953,,,153600,,,,,5000,,,5000,,,,,,,,,,,,,153600,,,,,,,,5850,,,,
Standard_D2pds_v6,,,,,,,12500,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,37500,,,,,,,,,,8,,,,,,,,4163,8,11100,,,,,,180,,,1.463,110,,10000,,,,,106,,,1250,,,,,,,,,,,1,,3750,,,,90,,,,124,,,,15000
Standard_D4pds_v6,,,,,,,12500,,,,,,,,4,,,,,,,,,,,,,,2,,,,,,,,,,75.000,,,,,,,,,,12,,,,,,,,8333,16,26040,,,,,,360,,,1.463,220,,20000,,,,,212,,,1250,,,,,,,,,,,1,,6400,,,,180,,,,248,,,,30.000
Standard_D8pds_v6,,,,,,,15000,,,,,,,,8,,,,,,,,,,,,,,4,,,,,,,,,,150000,,,,,,,,,,24,,,,,,,,16666,32,26040,,,,,,720,,,1.463,440,,20000,,,,,424,,,1250,,,,,,,,,,,1,,12800,,,,360,,,,496,,,,60000
Standard_D16pds_v6,,,,,,,15000,,,,,,,,16,,,,,,,,,,,,,,8,,,,,,,,,,300000,,,,,,,,,,48,,,,,,,,33331,64,52080,,,,,,1440,,,1.463,440,,40.000,,,,,848,,,1250,,,,,,,,,,,2,,25600,,,,720,,,,992,,,,120000
Standard_D32pds_v6,,,,,,,20000,,,,,,,,32,,,,,,,,,,,,,,8,,,,,,,,,,600000,,,,,,,,,,64,,,,,,,,66662,128,104160,,,,,,2880,,,2340,440,,80.000,,,,,16 %,,,2.000,,,,,,,,,,,4,,51.200,,,,1440,,,,1984,,,,240000
Standard_D48pds_v6,,,,,,,30.000,,,,,,,,48,,,,,,,,,,,,,,8,,,,,,,,,,900000,,,,,,,,,,64,,,,,,,,99994,192,104160,,,,,,4320,,,3510,440,,80.000,,,,,2544,,,3000,,,,,,,,,,,6,,76800,,,,2160,,,,2976,,,,360000
Standard_D64pds_v6,,,,,,,40.000,,,,,,,,64,,,,,,,,,,,,,,8,,,,,,,,,,1200000,,,,,,,,,,64,,,,,,,,133325,256,133325,,,,,,5760,,,4680,880,,102400,,,,,3392,,,3392,,,,,,,,,,,4,,102400,,,,2880,,,,3969,,,,480000
Standard_D96pds_v6,,,,,,,60000,,,,,,,,96,,,,,,,,,,,,,,8,,,,,,,,,,1800000,,,,,,,,,,64,,,,,,,,199987,384,199987,,,,,,8640,,,5953,880,,153600,,,,,5000,,,5000,,,,,,,,,,,6,,153600,,,,4320,,,,5850,,,,720000
Standard_D2pls_v6,,,,,,,12500,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,8,,,,,,,,4163,4,11100,,,,,,,,,1.463,,,10000,,,,,106,,,1250,,,,,,,,,,,,,3750,,,,,,,,124,,,,
Standard_D4pls_v6,,,,,,,12500,,,,,,,,4,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,12,,,,,,,,8333,8,26040,,,,,,,,,1.463,,,20000,,,,,212,,,1250,,,,,,,,,,,,,6400,,,,,,,,248,,,,
Standard_D8pls_v6,,,,,,,15000,,,,,,,,8,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,24,,,,,,,,16666,16,26040,,,,,,,,,1.463,,,20000,,,,,424,,,1250,,,,,,,,,,,,,12800,,,,,,,,496,,,,
Standard_D16pls_v6,,,,,,,15000,,,,,,,,16,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,48,,,,,,,,33331,32,52080,,,,,,,,,1.463,,,40.000,,,,,848,,,1250,,,,,,,,,,,,,25600,,,,,,,,992,,,,
Standard_D32pls_v6,,,,,,,20000,,,,,,,,32,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,64,,,,,,,,66662,64,104160,,,,,,,,,2340,,,80.000,,,,,16 %,,,2.000,,,,,,,,,,,,,51.200,,,,,,,,1984,,,,
Standard_D48pls_v6,,,,,,,30.000,,,,,,,,48,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,64,,,,,,,,99994,96,104160,,,,,,,,,3510,,,80.000,,,,,2544,,,3000,,,,,,,,,,,,,76800,,,,,,,,2976,,,,
Standard_D64pls_v6,,,,,,,40.000,,,,,,,,64,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,64,,,,,,,,133325,128,133325,,,,,,,,,4680,,,102400,,,,,3392,,,3392,,,,,,,,,,,,,102400,,,,,,,,3969,,,,
Standard_D96pls_v6,,,,,,,60000,,,,,,,,96,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,64,,,,,,,,199987,192,199987,,,,,,,,,5953,,,153600,,,,,5000,,,5000,,,,,,,,,,,,,153600,,,,,,,,5850,,,,
Standard_D2plds_v6,,,,,,,12500,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,37500,,,,,,,,,,8,,,,,,,,4163,4,11100,,,,,,180,,,1.463,110,,10000,,,,,106,,,1250,,,,,,,,,,,1,,3750,,,,90,,,,124,,,,15000
Standard_D4plds_v6,,,,,,,12500,,,,,,,,4,,,,,,,,,,,,,,2,,,,,,,,,,75.000,,,,,,,,,,12,,,,,,,,8333,8,26040,,,,,,360,,,1.463,220,,20000,,,,,212,,,1250,,,,,,,,,,,1,,6400,,,,180,,,,248,,,,30.000
Standard_D8plds_v6,,,,,,,15000,,,,,,,,8,,,,,,,,,,,,,,4,,,,,,,,,,150000,,,,,,,,,,24,,,,,,,,16666,16,26040,,,,,,720,,,1.463,440,,20000,,,,,424,,,1250,,,,,,,,,,,1,,12800,,,,360,,,,496,,,,60000
Standard_D16plds_v6,,,,,,,15000,,,,,,,,16,,,,,,,,,,,,,,8,,,,,,,,,,300000,,,,,,,,,,48,,,,,,,,33331,32,52080,,,,,,1440,,,1.463,440,,40.000,,,,,848,,,1250,,,,,,,,,,,2,,25600,,,,720,,,,992,,,,120000
Standard_D32plds_v6,,,,,,,20000,,,,,,,,32,,,,,,,,,,,,,,8,,,,,,,,,,600000,,,,,,,,,,64,,,,,,,,66662,64,104160,,,,,,2880,,,2340,440,,80.000,,,,,16 %,,,2.000,,,,,,,,,,,4,,51.200,,,,1440,,,,1984,,,,240000
Standard_D48plds_v6,,,,,,,30.000,,,,,,,,48,,,,,,,,,,,,,,8,,,,,,,,,,900000,,,,,,,,,,64,,,,,,,,99994,96,104160,,,,,,4320,,,3510,440,,80.000,,,,,2544,,,3000,,,,,,,,,,,6,,76800,,,,2160,,,,2976,,,,360000
Standard_D64plds_v6,,,,,,,40.000,,,,,,,,64,,,,,,,,,,,,,,8,,,,,,,,,,1200000,,,,,,,,,,64,,,,,,,,133325,128,133325,,,,,,5760,,,4680,880,,102400,,,,,3392,,,3392,,,,,,,,,,,4,,102400,,,,2880,,,,3969,,,,480000
Standard_D96plds_v6,,,,,,,60000,,,,,,,,96,,,,,,,,,,,,,,8,,,,,,,,,,1800000,,,,,,,,,,64,,,,,,,,199987,192,199987,,,,,,8640,,,5953,880,,153600,,,,,5000,,,5000,,,,,,,,,,,6,,153600,,,,4320,,,,5850,,,,720000
Standard_D2_v5,2,,,,,,,,,,,,85,,,,,,,,,,,,,,10000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,4,,3750,,,,,,,,,,,,,,,,1200,,8,
Standard_D4_v5,4,,,,,,,,,,,,145,,,,,,,,,,,,,,20000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,8,,6400,,,,,,,,,,,,,,,,1200,,16,
Standard_D8_v5,8,,,,,,,,,,,,290,,,,,,,,,,,,,,20000,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,16,,12800,,,,,,,,,,,,,,,,1200,,32,
Standard_D16_v5,16,,,,,,,,,,,,600,,,,,,,,,,,,,,40.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,32,,25600,,,,,,,,,,,,,,,,1200,,64,
Standard_D32_v5,32,,,,,,,,,,,,865,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000,,,,,,,,,,,,,,,,32,,51.200,,,,,,,,,,,,,,,,2.000,,128,
Standard_D48_v5,48,,,,,,,,,,,,1315,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.000,,,,,,,,,,,,,,,,32,,76800,,,,,,,,,,,,,,,,3000,,192,
Standard_D64_v5,64,,,,,,,,,,,,1735,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.000,,,,,,,,,,,,,,,,32,,80.000,,,,,,,,,,,,,,,,3000,,256,
Standard_D96_v5,96,,,,,,,,,,,,2600,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35000,,,,,,,,,,,,,,,,32,,80.000,,,,,,,,,,,,,,,,4000,,384,
Standard_D2s_v5,2,,,,,,,,,,,,85,,,,,,,,,,,,,,10000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,4,,3750,,,,,,,,,,,,,,,,1200,,8,
Standard_D4s_v5,4,,,,,,,,,,,,145,,,,,,,,,,,,,,20000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,8,,6400,,,,,,,,,,,,,,,,1200,,16,
Standard_D8s_v5,8,,,,,,,,,,,,290,,,,,,,,,,,,,,20000,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,16,,12800,,,,,,,,,,,,,,,,1200,,32,
Standard_D16s_v5,16,,,,,,,,,,,,600,,,,,,,,,,,,,,40.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,32,,25600,,,,,,,,,,,,,,,,1200,,64,
Standard_D32s_v5,32,,,,,,,,,,,,865,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000,,,,,,,,,,,,,,,,32,,51.200,,,,,,,,,,,,,,,,2.000,,128,
Standard_D48s_v5,48,,,,,,,,,,,,1315,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.000,,,,,,,,,,,,,,,,32,,76800,,,,,,,,,,,,,,,,3000,,192,
Standard_D64s_v5,64,,,,,,,,,,,,1735,,,,,,,,,,,,,,80.000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.000,,,,,,,,,,,,,,,,32,,80.000,,,,,,,,,,,,,,,,3000,,256,
